cct_hit,cct_lines,cct_strategy,cct_top_r,dataset_id,experiment_id,fault_category,fault_kind,inspection_budget_lines,mutant_id,operator,primary_line,sfl_budget_hit,sfl_budget_lines,sfl_strategy,subject
False,"[20, 21, 22, 31, 32, 33, 47, 48, 49]",aggregated.interval.edge_divergence_gated,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,9,BubbleSortFive_M2,ROR,30,False,"[4, 9, 14, 20, 21, 22, 47, 48, 49]",sfl.ochiai,BubbleSort
False,"[20, 21, 22]",aggregated.interval.statement_presence,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,3,BubbleSortFive_M2,ROR,30,False,"[20, 21, 22]",sfl.ochiai,BubbleSort
False,"[20, 21, 22, 31, 32, 33]",aggregated.interval.statement_presence,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,6,BubbleSortFive_M2,ROR,30,False,"[20, 21, 22, 47, 48, 49]",sfl.ochiai,BubbleSort
False,"[20, 21, 22, 31, 32, 33, 47, 48, 49]",aggregated.interval.statement_presence,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,condition,control-flow,9,BubbleSortFive_M2,ROR,30,False,"[4, 9, 14, 20, 21, 22, 47, 48, 49]",sfl.ochiai,BubbleSort
True,"[36, 37, 38, 41]",aggregated.composite.condition_or_interval,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,4,BubbleSortFive_M5,SUR,37,True,"[20, 36, 37, 38]",sfl.ochiai,BubbleSort
True,"[4, 20, 21, 22, 36, 37, 38, 41]",aggregated.composite.condition_or_interval,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,8,BubbleSortFive_M5,SUR,37,True,"[4, 9, 20, 21, 22, 36, 37, 38]",sfl.ochiai,BubbleSort
True,"[4, 20, 21, 22, 25, 36, 37, 38, 41, 57]",aggregated.composite.condition_or_interval,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,10,BubbleSortFive_M5,SUR,37,True,"[4, 9, 14, 19, 20, 21, 22, 36, 37, 38]",sfl.ochiai,BubbleSort
False,[41],aggregated.condition_node,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,1,BubbleSortFive_M5,SUR,37,False,[36],sfl.ochiai,BubbleSort
False,"[4, 41]",aggregated.condition_node,2,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,2,BubbleSortFive_M5,SUR,37,True,"[36, 37]",sfl.ochiai,BubbleSort
False,"[4, 25, 41]",aggregated.condition_node,3,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,3,BubbleSortFive_M5,SUR,37,True,"[36, 37, 38]",sfl.ochiai,BubbleSort
True,"[36, 37, 38]",aggregated.interval.edge_divergence_gated,1,EX_CSC_dataset,FL-060701-EX_CSC_dataset,statement,data-flow,3,BubbleSortFive_M5,SUR,37,True,"[36, 37, 38]",sfl.ochiai,BubbleSort
